,name,category,ingredient
877,Salty Dog,Vodka,"Lemon wedge, coarse salt"
878,Salty Dog,Vodka,Vodka
879,Salty Dog,Vodka,Grapefruit Juice
880,Dr. Cook,Cocktail Classics,Mr. Boston Gin
881,Dr. Cook,Cocktail Classics,Lemon Juice
882,Dr. Cook,Cocktail Classics,Maraschino
883,Dr. Cook,Cocktail Classics,Egg White
884,Dillatini Cocktail,Cocktail Classics,Mr. Boston Gin
885,Dillatini Cocktail,Cocktail Classics,Dry Vermouth
886,Chi-Town Flip,Whiskies,Bourbon whiskey
887,Chi-Town Flip,Whiskies,Tawny port
888,Chi-Town Flip,Whiskies,Fresh lemon juice
889,Chi-Town Flip,Whiskies,Vanilla liqueur and 3 oz
890,Chi-Town Flip,Whiskies,Simple Syrup
891,Chi-Town Flip,Whiskies,Whole Egg and grated nutmet
892,Chef's Pain,Vodka,Bourbon whiskey
893,Chef's Pain,Vodka,Fresh Lime Juice
894,Chef's Pain,Vodka,Blackberry liqueur
895,Chef's Pain,Vodka,B & B
896,Sampan Shipwreck A,Vodka,Vodka
897,Sampan Shipwreck A,Vodka,Orange liqueur
898,Sampan Shipwreck A,Vodka,Canned coconut milk
899,Sampan Shipwreck A,Vodka,Cold brewed chai tea
900,Sampan Shipwreck A,Vodka,orgeat or almond syrup
901,Chas,Whiskies,Bourbon whiskey
902,Chas,Whiskies,Amaretto
903,Chas,Whiskies,Benedictine
904,Chas,Whiskies,Triple Sec
905,Chas,Whiskies,Orange curacao
906,Goat's Delight,Brandy,Brandy
907,Goat's Delight,Brandy,Kirschwasser
908,Goat's Delight,Brandy,half-and-half
909,Goat's Delight,Brandy,orgeat or almond syrup
910,Goat's Delight,Brandy,Absinthe or pastis
911,Russian Bear Cocktail,Vodka,Vodka
912,Russian Bear Cocktail,Vodka,White creme de cacao
913,Russian Bear Cocktail,Vodka,half-and-half
914,Character Development,Whiskies,Scotch Whiskey
915,Character Development,Whiskies,Coconut liqueur
916,Character Development,Whiskies,Dry Sherry
917,Character Development,Whiskies,Grapefruit bitters
918,Ruby Red,Vodka,Grapefruit-flavored vodka
919,Ruby Red,Vodka,Triple Sec
920,Ruby Red,Vodka,Fresh ruby red grapefruit juice
921,Ruby Red,Vodka,Fresh orange juice
922,Chaplin,Whiskies,Bourbon whiskey
923,Chaplin,Whiskies,Dry Sherry
924,Chaplin,Whiskies,Ramazzotti Amaro
925,Chaplin,Whiskies,Triple Sec
926,Chaplin,Whiskies,Orange Bitters
927,Rouxby Red,Vodka,"For glass Lemon wedge, coarse salt"
928,Rouxby Red,Vodka,Grapefruit-flavored vodka
929,Rouxby Red,Vodka,Fresh lemon juice
930,Rouxby Red,Vodka,Grapefruit Juice
931,Rouxby Red,Vodka,Campari
932,Rouxby Red,Vodka,Simple Syrup
933,Rosemary Clementine Sparkle,Vodka,Clementine or mandarin orange
934,Rosemary Clementine Sparkle,Vodka,Vodka
935,Rosemary Clementine Sparkle,Vodka,Fresh lemon juice
936,Rosemary Clementine Sparkle,Vodka,Honey Syrup
937,Rosemary Clementine Sparkle,Vodka,Fresh rosemary sprig
938,Rosemary Clementine Sparkle,Vodka,Chilled sparkling wine or Champagne
939,Chapel Hill,Whiskies,Bourbon whiskey
940,Chapel Hill,Whiskies,Triple Sec
941,Chapel Hill,Whiskies,Fresh lemon juice
942,Robin's Nest,Vodka,Vodka
943,Robin's Nest,Vodka,Cranberry Juice
944,Robin's Nest,Vodka,White creme de cacao
945,Chancellor Cocktail,Whiskies,Blended Scotch Whiskey
946,Chancellor Cocktail,Whiskies,Dry Vermouth
947,Chancellor Cocktail,Whiskies,Tawny port
948,Chancellor Cocktail,Whiskies,Peychaud's Bitters
949,Cafe di Saronno,Cocktail Classics,Amaretto di Saronno
950,Carre Reprise,Whiskies,Straight rye whiskey
951,Carre Reprise,Whiskies,Cognac
952,Carre Reprise,Whiskies,Sweet Vermouth
953,Carre Reprise,Whiskies,Elderflower liqueur
954,Carre Reprise,Whiskies,Angostura Bitters
955,Carre Reprise,Whiskies,Peychaud's Bitters
956,Gilroy Cocktail,Brandy,cherry-flavored brandy
957,Gilroy Cocktail,Brandy,Gin
958,Gilroy Cocktail,Brandy,Dry Vermouth
959,Gilroy Cocktail,Brandy,Fresh lemon juice
960,Gilroy Cocktail,Brandy,Orange Bitters
961,Redhead Martini,Vodka,"Strawberries, cut into halves"
962,Redhead Martini,Vodka,Fresh lemon juice
963,Redhead Martini,Vodka,Simple Syrup
964,Redhead Martini,Vodka,Citrus-flavored vodka
965,Redhead Martini,Vodka,Chilled Moscato d'Asti or sweet sparkling wine
966,Red Apple,Vodka,Vodka
967,Red Apple,Vodka,Apple juice
968,Red Apple,Vodka,Fresh lemon juice
969,Red Apple,Vodka,Grenadine
970,Canal Street Daisy,Whiskies,Blended Scotch Whiskey
971,Canal Street Daisy,Whiskies,Orange juice
972,Canal Street Daisy,Whiskies,Fresh lemon juice
973,Canal Street Daisy,Whiskies,Soda water
974,Canal Street Daisy,Whiskies,Orange wheel
975,Canadian Cocktail,Whiskies,Canadian whisky
976,Canadian Cocktail,Whiskies,Triple Sec
977,Canadian Cocktail,Whiskies,Simple Syrup
978,Canadian Cocktail,Whiskies,Angostura Bitters
979,Purple Ruby,Vodka,Vodka
980,Purple Ruby,Vodka,Pomegranate juice
981,Purple Ruby,Vodka,Grapefruit Juice
982,Purple Ruby,Vodka,Fresh Lime Juice
983,Purple Ruby,Vodka,Honey Syrup
984,Canadian Cherry,Whiskies,Maraschino liqueur
985,Canadian Cherry,Whiskies,Canadian whisky
986,Canadian Cherry,Whiskies,Maraschino liqueur
987,Canadian Cherry,Whiskies,Fresh lemon juice
988,Canadian Cherry,Whiskies,Orange juice
989,Orange Smile,Cocktail Classics,Egg
990,Orange Smile,Cocktail Classics,Juice of Orange
991,Orange Smile,Cocktail Classics,Grenadine
992,Purple Passion Iced Tea,Vodka,Vodka
993,Purple Passion Iced Tea,Vodka,Light Rum
994,Purple Passion Iced Tea,Vodka,Gin
995,Purple Passion Iced Tea,Vodka,Black raspberry liqueur
996,Purple Passion Iced Tea,Vodka,Simple Syrup
997,Purple Passion Iced Tea,Vodka,Fresh lemon juice and 3 oz
998,Canadian Breeze,Whiskies,Canadian whisky
999,Canadian Breeze,Whiskies,Pineapple Juice
1000,Canadian Breeze,Whiskies,Fresh lemon juice
1001,Canadian Breeze,Whiskies,Maraschino liqueur
1002,Canadian Breeze,Whiskies,"Pineapple wedge, maraschino cherry"
1003,Purple Passion,Vodka,Vodka
1004,Purple Passion,Vodka,Grapefruit Juice
1005,Purple Passion,Vodka,Concord grape juice
1006,Purple Passion,Vodka,Simple Syrup
1007,Cameron's Kick Cocktail,Whiskies,Blended Scotch Whiskey
1008,Cameron's Kick Cocktail,Whiskies,Irish Whiskey
1009,Cameron's Kick Cocktail,Whiskies,Fresh lemon juice
1010,Cameron's Kick Cocktail,Whiskies,Orange Bitters
1011,Georgia Mint Julep,Brandy,Mint sprigs
1012,Georgia Mint Julep,Brandy,Simple Syrup
1013,Georgia Mint Julep,Brandy,Brandy
1014,Georgia Mint Julep,Brandy,Peach-flavored brandy
1015,California Lemonade,Whiskies,Bourbon whiskey
1016,California Lemonade,Whiskies,Fresh lemon juice
1017,California Lemonade,Whiskies,Fresh Lime Juice
1018,California Lemonade,Whiskies,Simple Syrup
1019,California Lemonade,Whiskies,Grenadine
1020,California Lemonade,Whiskies,"Soda water, Orange and lemon wheels, maraschino cherry"
1021,Boston Side Car,Cocktail Classics,Mr. Boston Five Star Brandy
1022,Boston Side Car,Cocktail Classics,Mr. Boston Rum
1023,Boston Side Car,Cocktail Classics,Mr. Boston Triple Sec
1024,Boston Side Car,Cocktail Classics,Juice of a Lime
1025,Cablegram,Whiskies,Bourbon whiskey
1026,Cablegram,Whiskies,Fresh lemon juice
1027,Cablegram,Whiskies,Simple Syrup
1028,Cablegram,Whiskies,Ginger ale
1029,Bull And Bear,Whiskies,Bourbon whiskey
1030,Bull And Bear,Whiskies,Orange curacao
1031,Bull And Bear,Whiskies,Fresh lemon juice
1032,Bull And Bear,Whiskies,Grenadine
1033,Brooklyn,Whiskies,Rye or bourbon whiskey
1034,Brooklyn,Whiskies,Sweet Vermouth
1035,Brooklyn,Whiskies,Amer Picon or Torani Amer
1036,Brooklyn,Whiskies,Maraschino liqueur
1037,Brighton Punch,Whiskies,Bourbon whiskey
1038,Brighton Punch,Whiskies,Brandy
1039,Brighton Punch,Whiskies,Benedictine
1040,Brighton Punch,Whiskies,Orange juice
1041,Brighton Punch,Whiskies,Fresh lemon juice
1042,Bourbon Renewal,Whiskies,Bourbon whiskey
1043,Bourbon Renewal,Whiskies,Fresh lemon juice
1044,Bourbon Renewal,Whiskies,Creme de Cassis
1045,Bourbon Renewal,Whiskies,Simple Syrup
1046,Bourbon Renewal,Whiskies,Angostura Bitters
1047,Bourbon Highball,Whiskies,Bourbon whiskey
1048,Bourbon And Elder,Whiskies,Bourbon whiskey
1049,Bourbon And Elder,Whiskies,Elderflower liqueur
1050,Bourbon And Elder,Whiskies,Angostura Bitters
1051,Bourbon Crusta,Whiskies,"Lemon wedge, superfine sugar,  Long, wide spiral of orange zest"
1052,Bourbon Crusta,Whiskies,Bourbon whiskey
1053,Bourbon Crusta,Whiskies,Triple Sec
1054,Bourbon Crusta,Whiskies,Maraschino liqueur
1055,Bourbon Crusta,Whiskies,Fresh lemon juice
1056,Bourbon Crusta,Whiskies,Orange Bitters
1057,Bourbon Cooler,Whiskies,Bourbon whiskey
1058,Bourbon Cooler,Whiskies,Fresh lemon juice
1059,Bourbon Cooler,Whiskies,Grapefruit Juice
1060,Bourbon Cooler,Whiskies,Orgeat Syrup
1061,Froupe Cocktail,Brandy,Brandy
1062,Froupe Cocktail,Brandy,Sweet Vermouth
1063,Froupe Cocktail,Brandy,Benedictine
1064,Bourbon A La Creme,Whiskies,Bourbon whiskey
1065,Bourbon A La Creme,Whiskies,Dark creme de cacao
1066,Bourbon A La Creme,Whiskies,Vanilla liqueur
1067,The Bone,Whiskies,Bourbon whiskey
1068,The Bone,Whiskies,Fresh Lime Juice
1069,The Bone,Whiskies,Simple Syrup
1070,The Bone,Whiskies,Hot red pepper sauce
1071,Bobby Burns Cocktail,Whiskies,Blended Scotch Whiskey
1072,Bobby Burns Cocktail,Whiskies,Sweet Vermouth
1073,Bobby Burns Cocktail,Whiskies,Benedictine
1074,Bloody Scotsman,Whiskies,"Smoky Scotch whisky, such as Laphroaig"
1075,Bloody Scotsman,Whiskies,Tomato Juice
1076,Bloody Scotsman,Whiskies,V8 cocktail juice
1077,Bloody Scotsman,Whiskies,ketchup
1078,Bloody Scotsman,Whiskies,Fresh Lime Juice
1079,Bloody Scotsman,Whiskies,"Simple Syrup, 3/4 oz"
1080,White Cargo Cocktail,Cocktail Classics,Vanilla Ice Cream
1081,White Cargo Cocktail,Cocktail Classics,Mr. Boston Gin
1082,Blood and Sand,Whiskies,Blended Scotch Whiskey
1083,Blood and Sand,Whiskies,cherry-flavored brandy
1084,Blood and Sand,Whiskies,Sweet Vermouth
1085,Blood and Sand,Whiskies,Orange juice
1086,The Blinker,Whiskies,Straight rye whisky
1087,The Blinker,Whiskies,Grapefruit Juice
1088,The Blinker,Whiskies,Raspberry Syrup
1089,Pike's Peak Cooler,Cocktail Classics,Juice of a Lemon
1090,Pike's Peak Cooler,Cocktail Classics,Powdered Sugar
1091,Pike's Peak Cooler,Cocktail Classics,Whole Egg
1092,Blarney Stone Cocktail,Whiskies,Irish Whiskey
1093,Blarney Stone Cocktail,Whiskies,Anisette
1094,Blarney Stone Cocktail,Whiskies,Triple Sec
1095,Blarney Stone Cocktail,Whiskies,Maraschino liqueur
1096,Blarney Stone Cocktail,Whiskies,Angostura Bitters
1097,Blarney Stone Cocktail,Whiskies,"Orange twist, green olive"
1098,Pacman,Cocktail Classics,Lemon Juice
1099,Pacman,Cocktail Classics,Grenadine
1100,Pacman,Cocktail Classics,Bitters
1101,Lemonade (Golden),Cocktail Classics,Juice of a Lemon
1102,Lemonade (Golden),Cocktail Classics,Powdered Sugar
1103,Lemonade (Golden),Cocktail Classics,Egg Yolk
1104,Lemonade (Golden),Cocktail Classics,Water
1105,Black Hawk,Whiskies,Bourbon whiskey
1106,Black Hawk,Whiskies,Sloe gin
1107,Black Hawk,Whiskies,Maraschino cherry
1108,Lemonade (Egg),Cocktail Classics,Juice of a Lemon
1109,Lemonade (Egg),Cocktail Classics,Powdered Sugar
1110,Lemonade (Egg),Cocktail Classics,Whole Egg
1111,Bensonhurst,Whiskies,Cynar
1112,Bensonhurst,Whiskies,Straight rye whiskey
1113,Bensonhurst,Whiskies,Dry Vermouth
1114,Bensonhurst,Whiskies,Maraschino liqueur
1115,Chocolate Daisy,Cocktail Classics,Juice of a Lemon
1116,Chocolate Daisy,Cocktail Classics,Powdered Sugar
1117,Chocolate Daisy,Cocktail Classics,Grenadine
1118,Chocolate Daisy,Cocktail Classics,Brandy
1119,Chocolate Daisy,Cocktail Classics,Port
1120,The Beautiful Day,Whiskies,Irish Whiskey
1121,The Beautiful Day,Whiskies,Rhubarb Syrup
1122,The Beautiful Day,Whiskies,Cold brewed green tea
1123,French Quarter,Brandy,Brandy
1124,French Quarter,Brandy,Lillet Blanc
1125,Creme de Gin Cocktail,Cocktail Classics,Gin
1126,Creme de Gin Cocktail,Cocktail Classics,White creme de menthe
1127,Creme de Gin Cocktail,Cocktail Classics,Egg White
1128,Creme de Gin Cocktail,Cocktail Classics,Lemon Juice
1129,Creme de Gin Cocktail,Cocktail Classics,Orange Juice
1130,Creamy Screwdriver,Cocktail Classics,Vodka
1131,Creamy Screwdriver,Cocktail Classics,Egg Yolk
1132,Creamy Screwdriver,Cocktail Classics,Orange Juice
1133,Creamy Screwdriver,Cocktail Classics,Sugar
1134,Creamy Orange,Cocktail Classics,Orange Juice
1135,Creamy Orange,Cocktail Classics,Cream sherry
1136,Creamy Orange,Cocktail Classics,Brandy
1137,Creamy Orange,Cocktail Classics,Light cream
1138,Creamsicle,Cocktail Classics,Vanilla liqueur
1139,Creamsicle,Cocktail Classics,Milk
1140,Creamsicle,Cocktail Classics,Orange Juice
1141,Cowboy Cocktail,Cocktail Classics,Blended whiskey
1142,Cowboy Cocktail,Cocktail Classics,Light cream
1143,Beals Cocktail,Whiskies,Blended Scotch Whiskey
1144,Beals Cocktail,Whiskies,Dry Vermouth
1145,Beals Cocktail,Whiskies,Sweet Vermouth
1146,Coronation Cocktail,Cocktail Classics,Gin
1147,Coronation Cocktail,Cocktail Classics,Dubonnet
1148,Coronation Cocktail,Cocktail Classics,Dry Vermouth
1149,Cornell Cocktail,Cocktail Classics,Lemon Juice
1150,Cornell Cocktail,Cocktail Classics,Maraschino
1151,Cornell Cocktail,Cocktail Classics,Egg White
1152,Cornell Cocktail,Cocktail Classics,Gin
1153,Combo,Cocktail Classics,Dry Vermouth
1154,Combo,Cocktail Classics,Brandy
1155,Combo,Cocktail Classics,Triple Sec
1156,Combo,Cocktail Classics,Powdered Sugar
1157,Combo,Cocktail Classics,Bitters
1158,Basin Street,Whiskies,Bourbon whiskey
1159,Basin Street,Whiskies,Triple Sec
1160,Basin Street,Whiskies,Fresh lemon juice
1161,Cole's Raspberry Cream,Cocktail Classics,Raspberry Yogurt
1162,Cole's Raspberry Cream,Cocktail Classics,Raspberry Ice Cream
1163,Cole's Raspberry Cream,Cocktail Classics,White creme de cacao
1164,Cole's Raspberry Cream,Cocktail Classics,Vodka
1165,Cole's Raspberry Cream,Cocktail Classics,Heavy cream
1166,Cognac Coupling,Cocktail Classics,Cognac
1167,Cognac Coupling,Cocktail Classics,Tawny port
1168,Cognac Coupling,Cocktail Classics,Anis
1169,Cognac Coupling,Cocktail Classics,Lemon Juice
1170,Coffee Sour,Cocktail Classics,Coffee-flavored brandy
1171,Coffee Sour,Cocktail Classics,Lemon Juice
1172,Coffee Sour,Cocktail Classics,Powdered Sugar
1173,Coffee Sour,Cocktail Classics,Egg White
1174,Coffee Flip,Cocktail Classics,Whole Egg
1175,Coffee Flip,Cocktail Classics,Powdered Sugar
1176,Coffee Flip,Cocktail Classics,Brandy
1177,Coffee Flip,Cocktail Classics,Port
1178,Coffee Flip,Cocktail Classics,Light Cream (if desired)
1179,Coffee Cocktail,Cocktail Classics,Whole Egg
1180,Coffee Cocktail,Cocktail Classics,Powdered Sugar
1181,Coffee Cocktail,Cocktail Classics,Port
1182,Coffee Cocktail,Cocktail Classics,Brandy
1183,Purple Mask,Vodka,Vodka
1184,Purple Mask,Vodka,Concord grape juice
1185,Purple Mask,Vodka,White creme de cacao
1186,Clove Cocktail,Cocktail Classics,Sweet Vermouth
1187,Clove Cocktail,Cocktail Classics,Sloe gin
1188,Clove Cocktail,Cocktail Classics,Muscatel Wine
1189,Clover Leaf Cocktail,Cocktail Classics,Juice of a Lime
1190,Clover Leaf Cocktail,Cocktail Classics,Grenadine
1191,Clover Leaf Cocktail,Cocktail Classics,Egg White
1192,Clover Leaf Cocktail,Cocktail Classics,Gin
1193,Clover Club Cocktail,Cocktail Classics,Juice of a Lemon
1194,Clover Club Cocktail,Cocktail Classics,Grenadine
1195,Clover Club Cocktail,Cocktail Classics,Egg White
1196,Clover Club Cocktail,Cocktail Classics,Gin
1197,Priority Cocktail,Vodka,Vodka
1198,Priority Cocktail,Vodka,Calvados
1199,Priority Cocktail,Vodka,Coffee liqueur
1200,Clamato Cocktail,Cocktail Classics,Vodka
1201,Clamato Cocktail,Cocktail Classics,Clam Juice
1202,Clamato Cocktail,Cocktail Classics,Tomato Juice
1203,Cider Eggnog,Cocktail Classics,Whole Egg
1204,Cider Eggnog,Cocktail Classics,Powdered Sugar
1205,Cider Eggnog,Cocktail Classics,Milk
1206,Chocolate Soldier,Cocktail Classics,Juice of a Lime
1207,Chocolate Soldier,Cocktail Classics,Dubonnet
1208,Chocolate Soldier,Cocktail Classics,Gin
1209,Chocolate Flip,Cocktail Classics,Whole Egg
1210,Chocolate Flip,Cocktail Classics,Powdered Sugar
1211,Chocolate Flip,Cocktail Classics,Sloe gin
1212,Chocolate Flip,Cocktail Classics,Brandy
1213,Chocolate Flip,Cocktail Classics,Light Cream (if desired)
1214,Chocolate Cocktail,Cocktail Classics,Port
1215,Chocolate Cocktail,Cocktail Classics,Yellow Chartreuse
1216,Chocolate Cocktail,Cocktail Classics,Egg Yolk
1217,Chocolate Cocktail,Cocktail Classics,Powdered Sugar
1218,Chicago Fizz,Cocktail Classics,Juice of a Lemon
1219,Chicago Fizz,Cocktail Classics,Powdered Sugar
1220,Chicago Fizz,Cocktail Classics,Egg White
1221,Chicago Fizz,Cocktail Classics,Port
1222,Chicago Fizz,Cocktail Classics,Light Rum
1223,Pretty In Pink,Vodka,Vodka
1224,Pretty In Pink,Vodka,Cranberry Juice
1225,Pretty In Pink,Vodka,Creme de noyaux
1226,Pretty In Pink,Vodka,Fresh lemon juice
1227,Cherry Wine Cocktail,Cocktail Classics,Danish Cherry Wine
1228,Cherry Wine Cocktail,Cocktail Classics,Vodka
1229,Cherry Wine Cocktail,Cocktail Classics,Juice of a Lime
1230,Cherry Flip,Cocktail Classics,Whole Egg
1231,Cherry Flip,Cocktail Classics,Powdered Sugar
1232,Cherry Flip,Cocktail Classics,cherry-flavored brandy
1233,Cherry Flip,Cocktail Classics,Light Cream (if desired)
1234,Cherry Cooler,Cocktail Classics,Cherry Vodka
1235,Polynesian Cocktail,Vodka,Vodka
1236,Polynesian Cocktail,Vodka,cherry-flavored brandy
1237,Polynesian Cocktail,Vodka,Fresh Lime Juice
1238,Chateau Briand's Rum Cow,Cocktail Classics,Dark rum
1239,Chateau Briand's Rum Cow,Cocktail Classics,Sugar
1240,Chateau Briand's Rum Cow,Cocktail Classics,Bitters
1241,Chateau Briand's Rum Cow,Cocktail Classics,Milk
1242,Champagne Velvet,Cocktail Classics,Chilled Stout
1243,Champagne Velvet,Cocktail Classics,Chilled Champagne
1244,Pink Pussycat,Vodka,Vodka
1245,Pink Pussycat,Vodka,Pineapple or grapefruit juice
1246,Pink Pussycat,Vodka,Grenadine
1247,Back Porch Swizzle,Whiskies,Bourbon whiskey
1248,Back Porch Swizzle,Whiskies,Dry Vermouth
1249,Back Porch Swizzle,Whiskies,Pineapple Juice
1250,Back Porch Swizzle,Whiskies,Ginger beer
1251,Canadian Pineapple,Cocktail Classics,Canadian whisky
1252,Canadian Pineapple,Cocktail Classics,Pineapple Juice
1253,Canadian Pineapple,Cocktail Classics,Lemon Juice
1254,Canadian Pineapple,Cocktail Classics,Maraschino
1255,Calm Voyage,Cocktail Classics,Strega
1256,Calm Voyage,Cocktail Classics,Light Rum
1257,Calm Voyage,Cocktail Classics,Passion Fruit Syrup
1258,Calm Voyage,Cocktail Classics,Lemon Juice
1259,Calm Voyage,Cocktail Classics,Egg White
1260,Pink Lemonade,Vodka,Citrus-flavored vodka
1261,Pink Lemonade,Vodka,Triple Sec
1262,Pink Lemonade,Vodka,Fresh Lime Juice
1263,Pink Lemonade,Vodka,Fresh lemon juice
1264,Pink Lemonade,Vodka,Simple Syrup
1265,Pink Lemonade,Vodka,"Cranberry Juice, lemon wheel"
1266,Caledonia,Cocktail Classics,Creme de Cacao (Brown)
1267,Caledonia,Cocktail Classics,Brandy
1268,Caledonia,Cocktail Classics,Milk
1269,Caledonia,Cocktail Classics,Egg Yolk
1270,Caf_ di Amaretto,Cocktail Classics,Hot Black Coffee
1271,Caf_ di Amaretto,Cocktail Classics,Amaretto
1272,Cafe De Paris Cocktail,Cocktail Classics,Egg White
1273,Cafe De Paris Cocktail,Cocktail Classics,Anis
1274,Cafe De Paris Cocktail,Cocktail Classics,Light cream
1275,Cafe De Paris Cocktail,Cocktail Classics,Gin
1276,Aztec's Mark,Whiskies,Bourbon whiskey
1277,Aztec's Mark,Whiskies,White creme de cacao
1278,Aztec's Mark,Whiskies,Benedictine
1279,Aztec's Mark,Whiskies,Hot red pepper sauce
1280,Fontainebleau Special,Brandy,Brandy
1281,Fontainebleau Special,Brandy,Anisette
1282,Fontainebleau Special,Brandy,Dry Vermouth
1283,Suntan,Cocktail Classics,Hot Shot Tropical Fruit Liqueur
1284,Suntan,Cocktail Classics,Orange Juice
1285,Sunburn,Cocktail Classics,Hot Shot Tropical Fruit Liqueur
1286,Sunburn,Cocktail Classics,Grapefruit Juice
1287,Suissesse Cocktail,Cocktail Classics,Anisette
1288,Suissesse Cocktail,Cocktail Classics,Egg White
1289,Strawberry Sunries,Cocktail Classics,Strawberry schnapps
1290,Strawberry Sunries,Cocktail Classics,Grenadine
1291,Autumn Leaves,Whiskies,Straight rye whiskey
1292,Autumn Leaves,Whiskies,Apple Brandy
1293,Autumn Leaves,Whiskies,Sweet Vermouth
1294,Autumn Leaves,Whiskies,Strega
1295,Autumn Leaves,Whiskies,Angostura Bitters
1296,Pickled Pink,Vodka,Vodka
1297,Pickled Pink,Vodka,Aquavit
1298,Pickled Pink,Vodka,Dill pickle brine
1299,Pickled Pink,Vodka,Angostura Bitters
1300,Aquarius,Whiskies,Blended Scotch Whiskey
1301,Aquarius,Whiskies,cherry-flavored brandy
1302,Aquarius,Whiskies,Cranberry Juice
1303,Soul Kiss Cocktail,Cocktail Classics,Orange Juice
1304,Soul Kiss Cocktail,Cocktail Classics,Dubonnet
1305,Soul Kiss Cocktail,Cocktail Classics,Dry Vermouth
1306,Soul Kiss Cocktail,Cocktail Classics,Bourbon
1307,Pickled Martini,Vodka,Vodka
1308,Pickled Martini,Vodka,Dry Vermouth
1309,Pickled Martini,Vodka,Sweet pickle brine
1310,Pickled Martini,Vodka,Sweet pickle slice
1311,Sloe Gin Flip,Cocktail Classics,Whole Egg
1312,Sloe Gin Flip,Cocktail Classics,Powdered Sugar
1313,Sloe Gin Flip,Cocktail Classics,Sloe gin
1314,Sloe Gin Flip,Cocktail Classics,Light Cream (if desired)
1315,Angel's Share,Whiskies,Bourbon whiskey
1316,Angel's Share,Whiskies,Amaro
1317,Angel's Share,Whiskies,Creme de Cassis
1318,Angel's Share,Whiskies,Orange Bitters
1319,Silver Stallion Fizz,Cocktail Classics,Vanilla Ice Cream
1320,Silver Stallion Fizz,Cocktail Classics,Gin
1321,Silver King Cocktail,Cocktail Classics,Egg White
1322,Silver King Cocktail,Cocktail Classics,Juice of a Lemon
1323,Silver King Cocktail,Cocktail Classics,Gin
1324,Silver King Cocktail,Cocktail Classics,Powdered Sugar
1325,Silver King Cocktail,Cocktail Classics,Orange Bitters
1326,American Trilogy,Whiskies,"Brown sugar cube, such as Demerara"
1327,American Trilogy,Whiskies,Straight rye whiskey
1328,American Trilogy,Whiskies,Applejack
1329,Silver Fizz,Cocktail Classics,Juice of a Lemon
1330,Silver Fizz,Cocktail Classics,Powdered Sugar
1331,Silver Fizz,Cocktail Classics,Gin
1332,Silver Fizz,Cocktail Classics,Egg White
1333,Sherry Twist Cocktail,Cocktail Classics,Cream sherry
1334,Sherry Twist Cocktail,Cocktail Classics,Brandy
1335,Sherry Twist Cocktail,Cocktail Classics,Dry Vermouth
1336,Sherry Twist Cocktail,Cocktail Classics,Triple Sec
1337,Sherry Twist Cocktail,Cocktail Classics,Lemon Juice
1338,Sherry Sangaree,Cocktail Classics,Powdered Sugar
1339,Sherry Sangaree,Cocktail Classics,Water
1340,Sherry Sangaree,Cocktail Classics,Cream sherry
1341,Sherry Sangaree,Cocktail Classics,Port
1342,Sherry Milk Punch,Cocktail Classics,Powdered Sugar
1343,Sherry Milk Punch,Cocktail Classics,Cream sherry
1344,Petit Zinc,Vodka,Vodka
1345,Petit Zinc,Vodka,Triple Sec
1346,Petit Zinc,Vodka,Sweet Vermouth
1347,Petit Zinc,Vodka,Orange juice
1348,Sherry Flip,Cocktail Classics,Whole Egg
1349,Sherry Flip,Cocktail Classics,Powdered Sugar
1350,Sherry Flip,Cocktail Classics,Cream sherry
1351,Sherry Flip,Cocktail Classics,Light Cream (if desired)
1352,Sherry-and-Egg Cocktail,Cocktail Classics,cream sherry
1353,Americana,Whiskies,Tennessee whiskey
1354,Americana,Whiskies,Simple Syrup
1355,Americana,Whiskies,Angostura Bitters
1356,Allegheny,Whiskies,Bourbon whiskey
1357,Allegheny,Whiskies,Dry Vermouth
1358,Allegheny,Whiskies,Blackberry-flavored brandy
1359,Allegheny,Whiskies,Fresh lemon juice
1360,Sevilla Cocktail,Cocktail Classics,Powdered Sugar
1361,Sevilla Cocktail,Cocktail Classics,Whole Egg
1362,Sevilla Cocktail,Cocktail Classics,Port
1363,Sevilla Cocktail,Cocktail Classics,Light Rum
1364,September Morn Cocktail,Cocktail Classics,Egg White
1365,September Morn Cocktail,Cocktail Classics,Light Rum
1366,September Morn Cocktail,Cocktail Classics,Juice of a Lime
1367,September Morn Cocktail,Cocktail Classics,Grenadine
1368,Peach Iced Tea,Vodka,Peach-flavored vodka
1369,Peach Iced Tea,Vodka,Orange curacao
1370,Peach Iced Tea,Vodka,Fresh lemon juice
1371,Peach Iced Tea,Vodka,Honey Syrup
1372,Peach Iced Tea,Vodka,Iced tea
1373,Fantasio Cocktail,Brandy,Brandy
1374,Fantasio Cocktail,Brandy,Dry Vermouth
1375,Fantasio Cocktail,Brandy,White creme de menthe
1376,Fantasio Cocktail,Brandy,Maraschino liqueur
1377,Scotch Bird Flyer,Cocktail Classics,Scotch
1378,Scotch Bird Flyer,Cocktail Classics,Egg Yolk
1379,Scotch Bird Flyer,Cocktail Classics,Triple Sec
1380,Scotch Bird Flyer,Cocktail Classics,Powdered Sugar
1381,Scotch Bird Flyer,Cocktail Classics,Light cream
1382,Algonquin,Whiskies,Straight rye whiskey
1383,Algonquin,Whiskies,Dry Vermouth
1384,Algonquin,Whiskies,Pineapple Juice
1385,Savannah,Cocktail Classics,Juice of Orange
