,name,category,row_id,ingredient_number,ingredient,measure
0,Gauguin,Cocktail Classics,1,1,Light Rum,2 oz
1,Gauguin,Cocktail Classics,1,2,Passion Fruit Syrup,1 oz
2,Gauguin,Cocktail Classics,1,3,Lemon Juice,1 oz
3,Gauguin,Cocktail Classics,1,4,Lime Juice,1 oz
4,Fort Lauderdale,Cocktail Classics,2,1,Light Rum,1 1/2 oz
5,Fort Lauderdale,Cocktail Classics,2,2,Sweet Vermouth,1/2 oz
6,Fort Lauderdale,Cocktail Classics,2,3,Juice of Orange,1/4 oz
7,Fort Lauderdale,Cocktail Classics,2,4,Juice of a Lime,1/4 oz
8,Apple Pie,Cordials and Liqueurs,3,1,Apple schnapps,3 oz
9,Apple Pie,Cordials and Liqueurs,3,2,Cinnamon schnapps,1 oz
10,Cuban Cocktail No. 1,Cocktail Classics,4,1,Juice of a Lime,1/2 oz
11,Cuban Cocktail No. 1,Cocktail Classics,4,2,Powdered Sugar,1/2 oz
12,Cuban Cocktail No. 1,Cocktail Classics,4,3,Light Rum,2 oz
13,Cool Carlos,Cocktail Classics,5,1,Dark rum,1 1/2 oz
14,Cool Carlos,Cocktail Classics,5,2,Cranberry Juice,2 oz
15,Cool Carlos,Cocktail Classics,5,3,Pineapple Juice,2 oz
16,Cool Carlos,Cocktail Classics,5,4,Orange curacao,1 oz
17,Cool Carlos,Cocktail Classics,5,5,Sour Mix,1 oz
18,John Collins,Whiskies,6,1,Bourbon whiskey,2 oz
19,John Collins,Whiskies,6,2,Fresh lemon juice,1 oz
20,John Collins,Whiskies,6,3,Simple Syrup,1/2 oz
21,John Collins,Whiskies,6,4,Soda water,1 oz
22,John Collins,Whiskies,6,5,"Orange and lemon wheels, maraschino cherry",1 oz
23,Cherry Rum,Cocktail Classics,7,1,Light Rum,1 1/4 oz
24,Cherry Rum,Cocktail Classics,7,2,cherry-flavored brandy,1 1/2 oz
25,Cherry Rum,Cocktail Classics,7,3,Light cream,1 oz
26,Casa Blanca,Cocktail Classics,8,1,Light Rum,2 oz
27,Casa Blanca,Cocktail Classics,8,2,Lime Juice,1 1/2 oz
28,Casa Blanca,Cocktail Classics,8,3,Triple Sec,1 1/2 oz
29,Casa Blanca,Cocktail Classics,8,4,Maraschino,1 1/2 oz
30,Caribbean Champagne,Cocktail Classics,9,1,Light Rum,1/2 oz
31,Caribbean Champagne,Cocktail Classics,9,2,Creme de banana,1/2 oz
32,Amber Amour,Cordials and Liqueurs,10,1,Amaretto,1 1/2 oz
33,Amber Amour,Cordials and Liqueurs,10,2,Fresh lemon juice,1/4 oz
34,Amber Amour,Cordials and Liqueurs,10,3,Simple Syrup,1/4 oz
35,The Joe Lewis,Whiskies,11,1,Scotch Whiskey,1 1/2 oz
36,The Joe Lewis,Whiskies,11,2,Fresh carrot juice,1 oz
37,The Joe Lewis,Whiskies,11,3,Tawny port,3/4 oz
38,The Joe Lewis,Whiskies,11,4,Fresh lemon juice,1/2 oz
39,The Joe Lewis,Whiskies,11,5,Agave nectar,1 oz
40,Bacardi Cocktail,Cocktail Classics,12,1,Bacardi Rum,1 1/2 oz
41,Bacardi Cocktail,Cocktail Classics,12,2,Juice of a Lime,1/2 oz
42,Bacardi Cocktail,Cocktail Classics,12,3,Grenadine,1/2 oz
43,Apple Pie No. 1,Cocktail Classics,13,1,Light Rum,3/4 oz
44,Apple Pie No. 1,Cocktail Classics,13,2,Sweet Vermouth,3/4 oz
45,Apple Pie No. 1,Cocktail Classics,13,3,Apple Brandy,1 oz
46,Apple Pie No. 1,Cocktail Classics,13,4,Grenadine,1/2 oz
47,Apple Pie No. 1,Cocktail Classics,13,5,Lemon Juice,1 oz
48,Yolanda,Cocktail Classics,14,1,Brandy,1/2 oz
49,Yolanda,Cocktail Classics,14,2,Gin,1/2 oz
50,Yolanda,Cocktail Classics,14,3,Anisette,1/2 oz
51,Yolanda,Cocktail Classics,14,4,Sweet Vermouth,1 oz
52,Yolanda,Cocktail Classics,14,5,Grenadine,1 oz
53,Yellow Rattler,Cocktail Classics,15,1,Gin,1 oz
54,Yellow Rattler,Cocktail Classics,15,2,Orange Juice,1 oz
55,Yellow Rattler,Cocktail Classics,15,3,Dry Vermouth,1/2 oz
56,Yellow Rattler,Cocktail Classics,15,4,Sweet Vermouth,1/2 oz
57,Why Not?,Cocktail Classics,16,1,Gin,1 oz
58,Why Not?,Cocktail Classics,16,2,Apricot Flavored Brandy,1 oz
59,Why Not?,Cocktail Classics,16,3,Dry Vermouth,1/2 oz
60,Why Not?,Cocktail Classics,16,4,Lemon Juice,1 oz
61,Amaretto Stinger,Cordials and Liqueurs,17,1,Amaretto,1 1/2 oz
62,Amaretto Stinger,Cordials and Liqueurs,17,2,White creme de menthe,3/4 oz
63,What The Hell,Cocktail Classics,18,1,Gin,1 oz
64,What The Hell,Cocktail Classics,18,2,Dry Vermouth,1 oz
65,What The Hell,Cocktail Classics,18,3,Apricot Flavored Brandy,1 oz
66,What The Hell,Cocktail Classics,18,4,Lemon Juice,1 oz
67,Webster Cocktail,Cocktail Classics,19,1,Juice of a Lime,1/2 oz
68,Webster Cocktail,Cocktail Classics,19,2,Apricot Flavored Brandy,1 1/2 oz
69,Webster Cocktail,Cocktail Classics,19,3,Dry Vermouth,1/2 oz
70,Webster Cocktail,Cocktail Classics,19,4,Gin,1 oz
71,Union Jack Cocktail,Cocktail Classics,20,1,Sloe gin,3/4 oz
72,Union Jack Cocktail,Cocktail Classics,20,2,Gin,1 1/2 oz
73,Union Jack Cocktail,Cocktail Classics,20,3,Grenadine,1/2 oz
74,Jocose Julep,Whiskies,21,1,Bourbon whiskey,2 1/2 oz
75,Jocose Julep,Whiskies,21,2,Green creme de menthe,1/2 oz
76,Jocose Julep,Whiskies,21,3,Fresh Lime Juice,1 oz
77,Jocose Julep,Whiskies,21,4,Simple Syrup,1/2 oz
78,Jocose Julep,Whiskies,21,5,Fresh mint leaves,5 oz
79,Trinity Cocktail,Cocktail Classics,22,1,Sweet Vermouth,3/4 oz
80,Trinity Cocktail,Cocktail Classics,22,2,Dry Vermouth,3/4 oz
81,Trinity Cocktail,Cocktail Classics,22,3,Gin,3/4 oz
82,Three Stripes Cocktail,Cocktail Classics,23,1,Gin,1 oz
83,Three Stripes Cocktail,Cocktail Classics,23,2,Dry Vermouth,1/2 oz
84,Three Stripes Cocktail,Cocktail Classics,23,3,Orange Juice,1 oz
85,Tanq-A-Rita,Cocktail Classics,24,1,Tanqueray gin,1 1/2 oz
86,Tanq-A-Rita,Cocktail Classics,24,2,Margarita Mix,3 oz
87,Tanq-A-Rita,Cocktail Classics,24,3,Triple Sec,1 oz
88,Amaretto Sour,Cordials and Liqueurs,25,1,Amaretto,1 1/2 oz
89,Amaretto Sour,Cordials and Liqueurs,25,2,Fresh lemon juice,3/4 oz
90,Amaretto Sour,Cordials and Liqueurs,25,3,Simple Syrup,1/2 oz
91,Amaretto Sour,Cordials and Liqueurs,25,4,Orange half-wheel,1
92,Tailspin Cocktail,Cocktail Classics,26,1,Gin,3/4 oz
93,Tailspin Cocktail,Cocktail Classics,26,2,Sweet Vermouth,3/4 oz
94,Tailspin Cocktail,Cocktail Classics,26,3,Green Chartreuse,3/4 oz
95,Tailspin Cocktail,Cocktail Classics,26,4,Orange Bitters,1 oz
96,Sweet Patootie Cocktail,Cocktail Classics,27,1,Gin,1 oz
97,Sweet Patootie Cocktail,Cocktail Classics,27,2,Triple Sec,1/2 oz
98,Sweet Patootie Cocktail,Cocktail Classics,27,3,Orange Juice,1 oz
99,Sunshine Cocktail,Cocktail Classics,28,1,Sweet Vermouth,3/4 oz
100,Sunshine Cocktail,Cocktail Classics,28,2,Gin,1 1/2 oz
101,Sunshine Cocktail,Cocktail Classics,28,3,Bitters,1 oz
102,Spring Feeling Cocktail,Cocktail Classics,29,1,Lemon Juice,1 oz
103,Spring Feeling Cocktail,Cocktail Classics,29,2,Green Chartreuse,1/2 oz
104,Spring Feeling Cocktail,Cocktail Classics,29,3,Gin,1 oz
105,Sphinx Cocktail,Cocktail Classics,30,1,Gin,1 1/2 oz
106,Sphinx Cocktail,Cocktail Classics,30,2,Sweet Vermouth,1 1/2 oz
107,Sphinx Cocktail,Cocktail Classics,30,3,Dry Vermouth,1 1/2 oz
108,Jitterbug Sour,Whiskies,31,1,Straight rye whiskey,2 oz
109,Jitterbug Sour,Whiskies,31,2,Benedictine,1/2 oz
110,Jitterbug Sour,Whiskies,31,3,Fresh lemon juice,3/4 oz
111,Jitterbug Sour,Whiskies,31,4,Honey Syrup,1/2 oz
112,Jitterbug Sour,Whiskies,31,5,Egg White,1 oz
113,Jitterbug Sour,Whiskies,31,6,Angostura Bitters,1 dash
114,Southern Gin Cocktail,Cocktail Classics,32,1,Gin,2 oz
115,Southern Gin Cocktail,Cocktail Classics,32,2,Orange Bitters,2 oz
116,Southern Gin Cocktail,Cocktail Classics,32,3,Triple Sec,1/2 oz
117,Society Cocktail,Cocktail Classics,33,1,Gin,1 1/2 oz
118,Society Cocktail,Cocktail Classics,33,2,Dry Vermouth,3/4 oz
119,Society Cocktail,Cocktail Classics,33,3,Grenadine,1/4 oz
120,Snyder,Cocktail Classics,34,1,Gin,1 1/2 oz
121,Snyder,Cocktail Classics,34,2,Dry Vermouth,1/2 oz
122,Snyder,Cocktail Classics,34,3,Triple Sec,1/2 oz
123,Smiler Cocktail,Cocktail Classics,35,1,Sweet Vermouth,1/2 oz
124,Smiler Cocktail,Cocktail Classics,35,2,Dry Vermouth,1/2 oz
125,Smiler Cocktail,Cocktail Classics,35,3,Gin,1 oz
126,Smiler Cocktail,Cocktail Classics,35,4,Bitters,1 oz
127,Smiler Cocktail,Cocktail Classics,35,5,Orange Juice,1/4 oz
128,Smile Cocktail,Cocktail Classics,36,1,Grenadine,1 oz
129,Smile Cocktail,Cocktail Classics,36,2,Gin,1 oz
130,Smile Cocktail,Cocktail Classics,36,3,Lemon Juice,1/2 oz
131,Amaretto Rose,Cordials and Liqueurs,37,1,Amaretto,1 1/2 oz
132,Amaretto Rose,Cordials and Liqueurs,37,2,Fresh lemon juice,1/2 oz
133,Amaretto Rose,Cordials and Liqueurs,37,3,Simple Syrup,1/2 oz
134,Sand-Martin Cocktail,Cocktail Classics,38,1,Green Chartreuse,1 oz
135,Sand-Martin Cocktail,Cocktail Classics,38,2,Sweet Vermouth,1 1/2 oz
136,Sand-Martin Cocktail,Cocktail Classics,38,3,Gin,1 1/2 oz
137,Irish Whiskey Highball,Whiskies,39,1,Irish Whiskey,2 oz
138,Irish Whiskey Highball,Whiskies,39,2,Ginger ale or soda water,1 oz
139,Irish Whiskey Highball,Whiskies,39,3,Lemon twist (optional),1 oz
140,Japanese,Brandy,40,1,Brandy,2 oz
141,Japanese,Brandy,40,2,orgeat or almond syrup,1/2 oz
142,Japanese,Brandy,40,3,Angostura Bitters,2 oz
143,Roselyn Cocktail,Cocktail Classics,41,1,Dry Vermouth,3/4 oz
144,Roselyn Cocktail,Cocktail Classics,41,2,Gin,1 1/2 oz
145,Roselyn Cocktail,Cocktail Classics,41,3,Grenadine,1/2 oz
146,Resolute Cocktail,Cocktail Classics,42,1,Juice of a Lemon,1/4 oz
147,Resolute Cocktail,Cocktail Classics,42,2,Apricot Flavored Brandy,1/2 oz
148,Resolute Cocktail,Cocktail Classics,42,3,Gin,1 oz
149,Racquet Club Cocktail,Cocktail Classics,43,1,Gin,1 1/2 oz
150,Racquet Club Cocktail,Cocktail Classics,43,2,Dry Vermouth,3/4 oz
151,Racquet Club Cocktail,Cocktail Classics,43,3,Orange Bitters,1 oz
152,Amaretto And Cream,Cordials and Liqueurs,44,1,Amaretto,1 1/2 oz
153,Amaretto And Cream,Cordials and Liqueurs,44,2,half-and-half,1 1/2 oz
154,Pollyanna Cocktai,Cocktail Classics,45,1,Orange,3 oz
155,Pollyanna Cocktai,Cocktail Classics,45,2,Pineapple,3 oz
156,Pollyanna Cocktai,Cocktail Classics,45,3,Gin,2 oz
157,Pollyanna Cocktai,Cocktail Classics,45,4,Sweet Vermouth,1/2 oz
158,Pollyanna Cocktai,Cocktail Classics,45,5,Grenadine,1/2 oz
159,Plaza Cocktail,Cocktail Classics,46,1,Sweet Vermouth,3/4 oz
160,Plaza Cocktail,Cocktail Classics,46,2,Dry Vermouth,3/4 oz
161,Plaza Cocktail,Cocktail Classics,46,3,Gin,3/4 oz
162,Irish Whiskey Cocktail,Whiskies,47,1,Irish Whiskey,2 oz
163,Irish Whiskey Cocktail,Whiskies,47,2,Triple Sec,1/2 oz
164,Irish Whiskey Cocktail,Whiskies,47,3,Anisette,1/2 oz
165,Irish Whiskey Cocktail,Whiskies,47,4,Maraschino liqueur,1/4 oz
166,Irish Whiskey Cocktail,Whiskies,47,5,Angostura Bitters,1 oz
167,Irish Whiskey Cocktail,Whiskies,47,6,Green olive,1
168,Absinthe Special Cocktail,Cordials and Liqueurs,48,1,Absinthe,1 1/2 oz
169,Absinthe Special Cocktail,Cordials and Liqueurs,48,2,Simple Syrup,1/4 oz
170,Absinthe Special Cocktail,Cordials and Liqueurs,48,3,Orange Bitters,1 oz
171,Nineteenth Hole,Cocktail Classics,49,1,Gin,1 1/2 oz
172,Nineteenth Hole,Cocktail Classics,49,2,Dry Vermouth,1 oz
173,Nineteenth Hole,Cocktail Classics,49,3,Sweet Vermouth,1 oz
174,Nineteenth Hole,Cocktail Classics,49,4,Bitters,1 oz
175,Montreal Club Bouncer,Cocktail Classics,50,1,Gin,1 1/2 oz
176,Montreal Club Bouncer,Cocktail Classics,50,2,Anisette,1/2 oz
177,Monte Carlo Imperial Highball,Cocktail Classics,51,1,Gin,2 oz
178,Monte Carlo Imperial Highball,Cocktail Classics,51,2,White creme de menthe,1/2 oz
179,Monte Carlo Imperial Highball,Cocktail Classics,51,3,Juice of a Lemon,1/4 oz
180,Irish Shillelagh,Whiskies,52,1,Irish Whiskey,1 1/2 oz
181,Irish Shillelagh,Whiskies,52,2,Light Rum,1 oz
182,Irish Shillelagh,Whiskies,52,3,Sloe gin,1/2 oz
183,Irish Shillelagh,Whiskies,52,4,Fresh lemon juice,1 oz
184,Irish Shillelagh,Whiskies,52,5,Simple Syrup,1/2 oz
185,Irish Shillelagh,Whiskies,52,6,"Fresh raspberries and strawberries, 2 peach slices, maraschino cherry",1
186,Melon Cocktail,Cocktail Classics,53,1,Gin,2 oz
187,Melon Cocktail,Cocktail Classics,53,2,Lemon Juice,1/4 oz
188,Melon Cocktail,Cocktail Classics,53,3,Maraschino,1/4 oz
189,Martini (Medium),Cocktail Classics,54,1,Gin,1 1/2 oz
190,Martini (Medium),Cocktail Classics,54,2,Dry Vermouth,1/2 oz
191,Martini (Medium),Cocktail Classics,54,3,Sweet Vermouth,1/2 oz
192,Martini (Dry) (5-to-1),Cocktail Classics,55,1,Gin,1 2/3 oz
193,Martini (Dry) (5-to-1),Cocktail Classics,55,2,Dry Vermouth,1/3 oz
194,Mamie's Sister,Cocktail Classics,56,1,Juice of a Lime,1 oz
195,Mamie's Sister,Cocktail Classics,56,2,Gin,2 oz
196,Irish Rickey,Whiskies,57,1,Irish Whiskey,1 1/2 oz
197,Irish Rickey,Whiskies,57,2,Fresh Lime Juice,1/2 oz
198,Irish Rickey,Whiskies,57,3,Soda water,1 oz
199,Irish Rickey,Whiskies,57,4,Lime wedge,1 oz
200,Maiden's Prayer,Cocktail Classics,58,1,Gin,1 1/2 oz
201,Maiden's Prayer,Cocktail Classics,58,2,Triple Sec,1/2 oz
202,Maiden's Prayer,Cocktail Classics,58,3,Lemon Juice,1 oz
203,Lone Tree Cocktail,Cocktail Classics,59,1,Sweet Vermouth,3/4 oz
204,Lone Tree Cocktail,Cocktail Classics,59,2,Gin,1 1/2 oz
205,London Buck,Cocktail Classics,60,1,Gin,2 oz
206,London Buck,Cocktail Classics,60,2,Juice of a Lemon,1/2 oz
207,Leap Frog Highball,Cocktail Classics,61,1,Juice of a Lemon,1/2 oz
208,Leap Frog Highball,Cocktail Classics,61,2,Gin,2 oz
209,Incider Cocktail,Whiskies,62,1,Rye or bourbon whiskey,1 1/2 oz
210,Incider Cocktail,Whiskies,62,2,Apple cider,4 oz
211,Incider Cocktail,Whiskies,62,3,Apple slice,1 oz
212,Kup's Indispensable Cocktail,Cocktail Classics,63,1,Light Vermouth,1/2 oz
213,Kup's Indispensable Cocktail,Cocktail Classics,63,2,Dry Vermouth,1/2 oz
214,Kup's Indispensable Cocktail,Cocktail Classics,63,3,Gin,1 1/2 oz
215,Kup's Indispensable Cocktail,Cocktail Classics,63,4,Bitters,1 oz
216,Knock-Out Cocktail,Cocktail Classics,64,1,Anisette,1/2 oz
217,Knock-Out Cocktail,Cocktail Classics,64,2,Gin,3/4 oz
218,Knock-Out Cocktail,Cocktail Classics,64,3,Dry Vermouth,3/4 oz
219,Knock-Out Cocktail,Cocktail Classics,64,4,Creme de Menthe (White),1 oz
220,K. G. B. Cocktail,Cocktail Classics,65,1,Kummel,1/2 oz
221,K. G. B. Cocktail,Cocktail Classics,65,2,Gin,1 1/2 oz
222,K. G. B. Cocktail,Cocktail Classics,65,3,Apricot Flavored Brandy,1/4 oz
223,K. G. B. Cocktail,Cocktail Classics,65,4,Lemon Juice,1/4 oz
224,Imperial Fizz,Whiskies,66,1,Bourbon or Rye Whiskey,1 1/2 oz
225,Imperial Fizz,Whiskies,66,2,Light Rum,1/2 oz
226,Imperial Fizz,Whiskies,66,3,Fresh lemon juice,1 oz
227,Imperial Fizz,Whiskies,66,4,Simple Syrup,1/2 oz
228,Imperial Fizz,Whiskies,66,5,Soda water,1 oz
229,Jeyplak Cocktail,Cocktail Classics,67,1,Gin,1 1/2 oz
230,Jeyplak Cocktail,Cocktail Classics,67,2,Sweet Vermouth,3/4 oz
231,Jeyplak Cocktail,Cocktail Classics,67,3,Anisette,1/4 oz
232,H. P. W. Cocktail,Cocktail Classics,68,1,Dry Vermouth,1 1/2 oz
233,H. P. W. Cocktail,Cocktail Classics,68,2,Sweet Vermouth,1 1/2 oz
234,H. P. W. Cocktail,Cocktail Classics,68,3,Gin,1 1/2 oz
235,I.A.P.,Whiskies,69,1,Tennessee whiskey,2 oz
236,I.A.P.,Whiskies,69,2,Fernet-Branca,1/4 oz
237,I.A.P.,Whiskies,69,3,Cola,3 oz
238,Hotel Plaza Cocktail,Cocktail Classics,70,1,Sweet Vermouth,3/4 oz
239,Hotel Plaza Cocktail,Cocktail Classics,70,2,Dry Vermouth,3/4 oz
240,Hotel Plaza Cocktail,Cocktail Classics,70,3,Gin,3/4 oz
241,Hoffman House Cocktail,Cocktail Classics,71,1,Dry Vermouth,3/4 oz
242,Hoffman House Cocktail,Cocktail Classics,71,2,Gin,1 1/2 oz
243,Hawaiin Cocktail,Cocktail Classics,72,1,Gin,2 oz
244,Hawaiin Cocktail,Cocktail Classics,72,2,Pineapple Juice,1 oz
245,Hawaiin Cocktail,Cocktail Classics,72,3,Triple Sec,1/2 oz
246,White Russian,Vodka,73,1,Vodka,2 oz
247,White Russian,Vodka,73,2,Coffee liqueur,1 oz
248,Greyhound,Cocktail Classics,74,1,Gin,1 1/2 oz
249,Greyhound,Cocktail Classics,74,2,Grapefruit Juice,5 oz
250,Green Devil,Cocktail Classics,75,1,Gin,1 1/2 oz
251,Green Devil,Cocktail Classics,75,2,Green creme de menthe,1 1/2 oz
252,Green Devil,Cocktail Classics,75,3,Lime Juice,1 oz
253,Greenback,Cocktail Classics,76,1,Gin,1 1/2 oz
254,Greenback,Cocktail Classics,76,2,Green creme de menthe,1 oz
255,Greenback,Cocktail Classics,76,3,Lemon Juice,1 oz
256,Grapefruit Cocktail,Cocktail Classics,77,1,Grapefruit Juice,1 oz
257,Grapefruit Cocktail,Cocktail Classics,77,2,Gin,1 oz
258,Grapefruit Cocktail,Cocktail Classics,77,3,Maraschino,1 oz
259,Hotel D'alsace,Whiskies,78,1,Fresh rosemary sprig,1 oz
260,Hotel D'alsace,Whiskies,78,2,Irish Whiskey,2 oz
261,Hotel D'alsace,Whiskies,78,3,Benedictine,1/2 oz
262,Hotel D'alsace,Whiskies,78,4,Triple Sec,1/2 oz
263,Jamaica Granito,Brandy,79,1,Brandy,1 1/2 oz
264,Jamaica Granito,Brandy,79,2,Triple Sec,1 oz
265,Jamaica Granito,Brandy,79,3,Lemon or Orange Sherbet,1 oz
266,Gin Sling,Cocktail Classics,80,1,Powdered Sugar,1 oz
267,Gin Sling,Cocktail Classics,80,2,Water,1 oz
268,Gin Sling,Cocktail Classics,80,3,Juice of a Lemon,1/2 oz
269,Gin Sling,Cocktail Classics,80,4,Gin,2 oz
270,Gin Milk Punch,Cocktail Classics,81,1,Powdered Sugar,1 oz
271,Gin Milk Punch,Cocktail Classics,81,2,Gin,2 oz
272,Gin Milk Punch,Cocktail Classics,81,3,Milk,1 oz
273,Horse's Neck (With A Kick),Whiskies,82,1,Wide spiral of lemon zest,1 oz
274,Horse's Neck (With A Kick),Whiskies,82,2,Bourbon whiskey,2 oz
275,Horse's Neck (With A Kick),Whiskies,82,3,Ginger ale,1 oz
276,Gin and It,Cocktail Classics,83,1,Gin,2 oz
277,Gin and It,Cocktail Classics,83,2,Sweet Vermouth,1 oz
278,Gin Cocktail,Cocktail Classics,84,1,Gin,2 oz
279,Gin Cocktail,Cocktail Classics,84,2,Bitters,2 oz
280,West Side,Vodka,85,1,lemon-flavored vodka,1 1/2 oz
281,West Side,Vodka,85,2,Fresh lemon juice,3/4 oz
282,West Side,Vodka,85,3,Simple Syrup,1/2 oz
283,West Side,Vodka,85,4,Fresh mint leaves,6
284,Gimlet,Cocktail Classics,86,1,Lime Juice,1 oz
285,Gimlet,Cocktail Classics,86,2,Powdered Sugar,1 oz
286,Gimlet,Cocktail Classics,86,3,Gin,1 1/2 oz
287,Free Silver,Cocktail Classics,87,1,Juice of a Lemon,1/4 oz
288,Free Silver,Cocktail Classics,87,2,Powdered Sugar,1/2 oz
289,Free Silver,Cocktail Classics,87,3,Gin,1 1/2 oz
290,Free Silver,Cocktail Classics,87,4,Dark rum,1/2 oz
291,Free Silver,Cocktail Classics,87,5,Milk,1 oz
292,Frankenjack Cocktail,Cocktail Classics,88,1,Gin,1 oz
293,Frankenjack Cocktail,Cocktail Classics,88,2,Dry Vermouth,3/4 oz
294,Frankenjack Cocktail,Cocktail Classics,88,3,Apricot Flavored Brandy,1/2 oz
295,Frankenjack Cocktail,Cocktail Classics,88,4,Triple Sec,1 oz
296,Frankenjack Cocktail,Cocktail Classics,88,5,Juice of a Lime,1/2 oz
297,Frankenjack Cocktail,Cocktail Classics,88,6,Gin & ginger ale,1 1/2 oz
298,Fog Horn,Cocktail Classics,89,1,Juice of a Lime,1/2 oz
299,Fog Horn,Cocktail Classics,89,2,Gin & ginger ale,1 1/2 oz
300,Fog Horn,Cocktail Classics,89,3,Gin,2 oz
301,Fog Horn,Cocktail Classics,89,4,Triple Sec,1 oz
302,Flying Dutchman,Cocktail Classics,90,1,Gin,2 oz
303,Flying Dutchman,Cocktail Classics,90,2,Triple Sec,1 oz
304,Hoot Mon Cocktail,Whiskies,91,1,Blended Scotch Whiskey,1 1/2 oz
305,Hoot Mon Cocktail,Whiskies,91,2,Sweet Vermouth,3/4 oz
306,Hoot Mon Cocktail,Whiskies,91,3,Benedictine,1 oz
307,Fifty-Fifty Cocktail,Cocktail Classics,92,1,Gin,1 1/2 oz
308,Fifty-Fifty Cocktail,Cocktail Classics,92,2,Dry Vermouth,1 1/2 oz
309,Favorite Cocktail,Cocktail Classics,93,1,Apricot Flavored Brandy,3/4 oz
310,Favorite Cocktail,Cocktail Classics,93,2,Dry Vermouth,3/4 oz
311,Favorite Cocktail,Cocktail Classics,93,3,Gin,3/4 oz
312,Favorite Cocktail,Cocktail Classics,93,4,Lemon Juice,1/4 oz
313,Farmer's Cocktail,Cocktail Classics,94,1,Gin,1 oz
314,Farmer's Cocktail,Cocktail Classics,94,2,Dry Vermouth,1/2 oz
315,Farmer's Cocktail,Cocktail Classics,94,3,Sweet Vermouth,1/2 oz
316,Farmer's Cocktail,Cocktail Classics,94,4,Bitters,2 oz
317,Warsaw Cocktail,Vodka,95,1,Vodka,1 1/2 oz
318,Warsaw Cocktail,Vodka,95,2,Blackberry-flavored brandy,1/2 oz
319,Warsaw Cocktail,Vodka,95,3,Dry Vermouth,1/2 oz
320,Warsaw Cocktail,Vodka,95,4,Fresh lemon juice,1 oz
321,Emerald Isle Cocktail,Cocktail Classics,96,1,Gin,2 oz
322,Emerald Isle Cocktail,Cocktail Classics,96,2,Green creme de menthe,1 oz
323,Emerald Isle Cocktail,Cocktail Classics,96,3,Bitters,3 oz
324,Du Barry Cocktail,Cocktail Classics,97,1,Bitters,1 oz
325,Du Barry Cocktail,Cocktail Classics,97,2,Dry Vermouth,3/4 oz
326,Du Barry Cocktail,Cocktail Classics,97,3,Anisette,1/2 oz
327,Du Barry Cocktail,Cocktail Classics,97,4,Gin,1 1/2 oz
328,Dry Martini (5-to-1),Cocktail Classics,98,1,Gin,1 2/3 oz
329,Dry Martini (5-to-1),Cocktail Classics,98,2,Dry Vermouth,1/3 oz
330,Dixie Cocktail,Cocktail Classics,99,1,Juice of Orange,1/4 oz
331,Dixie Cocktail,Cocktail Classics,99,2,Anisette,1 oz
332,Dixie Cocktail,Cocktail Classics,99,3,Dry Vermouth,1/2 oz
333,Dixie Cocktail,Cocktail Classics,99,4,Gin,1 oz
334,Delmonico No. 2,Cocktail Classics,100,1,Orange Bitters,1 oz
335,Delmonico No. 2,Cocktail Classics,100,2,Dry Vermouth,1 oz
336,Delmonico No. 2,Cocktail Classics,100,3,Gin,1 1/2 oz
337,Hole-In-One,Whiskies,101,1,Blended Scotch Whiskey,1 3/4 oz
338,Hole-In-One,Whiskies,101,2,Dry Vermouth,3/4 oz
339,Hole-In-One,Whiskies,101,3,Fresh lemon juice,1/4 oz
340,Hole-In-One,Whiskies,101,4,Orange Bitters,1 oz
341,Vodka Stinger,Vodka,102,1,Vodka,1 oz
342,Vodka Stinger,Vodka,102,2,White creme de menthe,1 oz
343,Caruso,Cocktail Classics,103,1,Gin,1 1/2 oz
344,Caruso,Cocktail Classics,103,2,Dry Vermouth,1 oz
345,Caruso,Cocktail Classics,103,3,Green creme de menthe,1/2 oz
346,Bulldog Highball,Cocktail Classics,104,1,Juice of Orange,1/2 oz
347,Bulldog Highball,Cocktail Classics,104,2,Gin,2 oz
348,Brown Cocktail,Cocktail Classics,105,1,Gin,3/4 oz
349,Brown Cocktail,Cocktail Classics,105,2,Light Rum,3/4 oz
350,Brown Cocktail,Cocktail Classics,105,3,Dry Vermouth,3/4 oz
351,Bronx Terrace Cocktail,Cocktail Classics,106,1,Gin,1 1/2 oz
352,Bronx Terrace Cocktail,Cocktail Classics,106,2,Dry Vermouth,1 1/2 oz
353,Bronx Terrace Cocktail,Cocktail Classics,106,3,Juice of a Lime,1/2 oz
354,Bronx Cocktail (Dry),Cocktail Classics,107,1,Gin,1 oz
355,Bronx Cocktail (Dry),Cocktail Classics,107,2,Dry Vermouth,1 oz
356,Bronx Cocktail (Dry),Cocktail Classics,107,3,Juice of Orange,1/4 oz
357,Hill Dog,Whiskies,108,1,White whiskey,1 1/2 oz
358,Hill Dog,Whiskies,108,2,Grand Marnier,1/2 oz
359,Hill Dog,Whiskies,108,3,Dry Sherry,1/2 oz
360,Hill Dog,Whiskies,108,4,Lavender Syrup,1/2 oz
361,Blue Devil Cocktail,Cocktail Classics,109,1,Gin,1 oz
362,Blue Devil Cocktail,Cocktail Classics,109,2,Juice of Lemon or Lime,1/2 or 1
363,Blue Devil Cocktail,Cocktail Classics,109,3,Maraschino,1 oz
364,Blue Devil Cocktail,Cocktail Classics,109,4,Blue curacao,1/2 oz
